,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,PM10,PM2.5,RH,SO2
2164,22.0,2.1,0.5,0.47,0.3,19.0,20.0,82.0,85.9,79.0,1.7
2165,22.0,2.3,0.5,0.34,0.7,20.0,21.0,81.0,83.3,80.0,1.3
2166,22.0,2.4,0.6,0.27,17.0,30.0,46.0,87.0,82.0,82.0,2.1
2167,22.0,2.4,0.82,0.37,16.0,31.0,48.0,95.0,88.5,80.0,4.8
2168,23.0,2.3,1.02,0.43,22.0,37.0,59.0,110.0,96.3,81.0,4.6
2169,23.0,2.3,1.02,0.66,27.0,42.0,69.0,115.0,118.4,82.0,5.7
2170,25.0,2.0,0.88,0.85,18.0,43.0,61.0,116.0,114.5,78.0,4.8
2171,27.0,1.8,0.68,0.6,5.1,27.0,32.0,95.0,102.8,76.0,3.9
2172,28.0,1.7,0.45,0.16,2.2,10.0,13.0,73.0,62.5,70.0,2.7
2173,28.0,1.8,0.41,0.46,1.3,11.0,12.0,98.0,81.87,69.0,6.05
2174,27.0,1.8,1.22,1.43,0.6,9.3,9.9,108.0,111.9,73.0,3.5
2175,27.0,1.7,0.37,0.07,0.7,9.9,11.0,95.0,97.6,74.0,4.3
2176,27.0,1.7,0.37,0.08,0.5,8.7,9.2,79.0,89.8,74.0,3.2
2177,26.0,1.8,0.44,0.1,0.3,11.0,12.0,75.0,88.5,77.0,3.7
2178,25.0,1.7,0.43,0.12,0.2,12.0,12.0,69.0,80.7,77.0,2.8
2179,24.0,1.8,0.5,0.19,0.4,16.0,16.0,76.0,80.7,80.0,3.4
2180,24.0,1.8,0.56,0.21,0.2,19.0,19.0,81.0,80.7,81.0,4.1
2181,24.0,1.9,0.53,0.29,0.6,16.0,17.0,99.0,105.4,82.0,4.1
2182,24.0,1.9,0.61,0.4,0.4,17.0,18.0,99.0,102.8,82.0,3.6
2183,23.0,2.0,0.7,0.39,0.6,21.0,22.0,106.0,111.9,84.0,3.2
2184,23.0,2.1,0.81,0.64,2.2,33.0,35.0,101.0,109.3,86.0,6.1
2185,22.0,2.3,0.73,0.66,8.9,37.0,46.0,120.0,126.2,86.0,4.9
2186,22.0,2.4,0.64,0.43,4.6,31.0,35.0,114.0,123.6,88.0,3.1
2187,22.0,2.2,0.43,0.21,0.0,9.8,9.8,108.0,110.6,88.0,2.2
2188,22.0,2.1,0.36,0.1,-0.4,10.0,9.7,96.0,101.5,89.0,2.6
2189,22.0,1.9,0.39,0.09,-0.3,10.0,9.8,97.0,97.6,88.0,3.1
2190,22.0,1.9,0.49,0.14,0.0,15.0,15.0,101.0,102.8,86.0,2.7
2191,22.0,1.9,0.68,0.23,3.3,20.0,24.0,108.0,115.8,85.0,3.4
2192,23.0,1.9,0.59,0.2,2.83,15.32,18.13,116.0,124.9,81.0,3.9
2193,24.0,1.9,0.52,0.19,2.3,16.0,18.0,120.0,126.2,78.0,3.5
2194,25.0,1.8,0.51,0.16,1.9,15.0,17.0,112.0,124.9,76.0,3.0
2195,25.0,1.8,0.45,0.13,0.7,12.0,12.0,106.0,128.8,74.0,2.1
2196,25.0,1.8,0.41,0.11,-0.3,8.0,7.7,95.0,119.7,73.0,1.5
2197,26.0,1.7,0.4,0.08,-0.4,6.0,5.5,94.4,79.92,70.0,1.9
2198,27.0,1.7,0.37,0.09,1.37,11.2,12.57,96.0,86.55,67.0,1.7
2199,27.0,1.7,0.36,0.08,-0.5,4.3,3.8,75.0,87.2,65.0,1.4
2200,27.0,1.7,0.38,0.07,1.15,13.01,14.32,74.0,79.4,66.0,1.5
2201,25.0,1.7,0.48,0.14,1.11,17.12,18.0,73.0,71.6,74.0,1.7
2202,25.0,1.8,0.6,0.2,0.96,17.74,18.8,78.0,62.5,77.0,1.7
2203,24.0,1.8,0.65,0.31,0.9,16.83,17.6,88.0,72.9,78.0,2.1
2204,24.0,1.9,0.61,0.23,0.86,17.2,18.08,94.0,88.5,80.0,2.1
2205,24.0,1.9,0.65,0.26,0.97,19.79,20.68,101.0,88.5,82.0,2.2
2206,24.0,2.0,0.68,0.28,0.91,18.87,19.67,98.0,91.1,81.0,2.4
2207,24.0,2.0,0.72,0.39,1.02,17.26,18.15,104.0,95.0,81.0,2.4
2208,23.0,2.1,0.57,0.31,1.12,18.06,19.11,103.0,100.2,84.0,1.2
2209,22.0,2.0,0.44,0.14,0.96,11.35,12.43,104.0,102.8,87.0,3.0
2210,22.0,2.1,0.44,0.18,0.99,9.26,10.18,95.0,104.1,87.0,3.1
2211,22.0,2.1,0.45,0.18,0.6,8.7,9.2,96.0,100.2,87.0,3.2
2212,22.0,2.3,0.5,0.13,0.6,9.7,10.0,100.0,109.3,88.0,3.7
2213,22.0,2.2,0.56,0.17,0.6,14.0,15.0,114.0,110.6,87.0,5.8
2214,22.0,2.1,0.62,0.21,1.2,18.0,19.0,119.0,124.9,87.0,5.4
2215,23.0,2.2,0.71,0.22,3.1,20.0,23.0,134.0,132.7,85.0,7.7
2216,24.0,2.1,0.7,0.21,3.7,19.0,22.0,144.0,147.0,79.0,7.8
2217,26.0,1.9,0.55,0.13,1.7,8.6,10.0,136.0,144.4,72.0,3.9
2218,27.0,1.9,0.49,0.13,1.4,7.8,9.1,105.0,117.1,69.0,2.9
2219,28.0,1.8,0.48,0.09,0.7,4.9,5.6,76.0,96.3,65.0,2.7
2220,29.0,1.8,0.5,0.08,0.7,5.4,6.1,69.0,80.7,60.0,2.6
2221,30.0,1.8,0.46,0.08,1.0,5.7,6.7,78.0,83.3,59.0,2.9
2222,30.0,1.7,0.47,0.06,0.8,6.3,7.1,75.0,79.4,58.0,3.9
2223,29.0,1.7,0.45,0.07,0.8,5.1,5.8,77.0,67.7,59.0,2.3
2224,28.0,1.7,0.49,0.08,0.6,6.2,6.8,71.0,70.3,63.0,2.5
2225,27.0,1.8,0.52,0.09,0.7,7.8,8.5,71.0,72.9,68.0,2.5
2226,26.0,1.7,0.49,0.07,0.6,8.0,8.6,70.0,80.7,75.0,3.0
2227,25.0,1.8,0.48,0.08,0.6,8.9,9.5,77.0,72.9,79.0,3.3
2228,25.0,1.8,0.47,0.07,0.6,7.8,8.3,79.0,74.2,80.0,2.9
2229,25.0,1.9,0.52,0.11,0.7,11.0,12.0,78.0,70.3,81.0,2.7
2230,25.0,1.9,0.55,0.12,0.7,14.0,14.0,77.0,83.3,82.0,3.2
2231,25.0,1.9,0.57,0.11,0.5,13.0,13.0,82.0,87.2,81.0,3.1
2232,25.0,1.9,0.57,0.54,0.7,19.0,19.0,87.0,93.7,80.0,4.7
2233,24.0,2.2,0.71,0.55,1.0,25.0,26.0,85.0,95.0,82.0,4.5
2234,24.0,2.0,0.6,0.7,0.7,17.0,17.0,85.0,89.8,82.0,5.0
2235,24.0,2.1,0.59,0.34,0.3,14.0,14.0,86.0,97.6,82.0,3.3
2236,24.0,2.3,0.61,0.36,0.4,18.0,18.0,90.0,96.3,84.0,3.0
2237,23.0,2.5,0.63,0.33,3.3,24.0,27.0,91.0,93.7,87.0,2.7
2238,23.0,2.1,0.63,0.42,2.8,19.0,22.0,88.0,87.2,85.0,2.9
2239,24.0,1.9,0.64,0.32,2.3,13.0,16.0,81.0,83.3,81.0,3.1
2240,27.0,1.8,0.78,0.21,2.1,13.0,15.0,80.0,91.1,73.0,6.0
2241,28.0,1.8,0.68,0.18,3.4,15.0,19.0,73.0,84.6,68.0,9.8
2242,29.0,1.7,0.53,0.11,2.8,11.0,14.0,69.0,67.7,65.0,9.5
2243,29.0,1.7,0.37,0.06,2.0,5.6,7.6,52.0,56.0,64.0,5.2
2244,29.0,1.6,0.29,0.03,0.6,2.0,2.7,43.0,53.4,64.0,2.5
2245,30.0,1.6,0.25,0.02,0.4,1.8,2.2,35.0,39.75,64.0,2.3
2246,29.0,1.6,0.25,0.02,0.9,2.5,3.4,37.0,38.45,66.0,2.1
2247,29.0,1.6,0.26,0.02,0.8,2.1,2.9,30.0,34.81,64.0,1.6
2248,28.0,1.6,0.29,0.02,0.6,2.5,3.1,30.0,35.59,71.0,1.9
2249,27.0,1.7,0.32,0.02,0.3,4.3,4.6,29.0,37.54,76.0,2.4
2250,26.0,1.7,0.35,0.03,0.1,4.9,5.0,36.0,41.31,81.0,2.0
2251,26.0,1.7,0.38,0.04,0.1,6.4,6.5,46.0,40.92,84.0,2.2
2252,26.0,1.7,0.4,0.06,0.3,7.1,7.4,50.0,44.43,84.0,2.1
2253,26.0,1.7,0.43,0.07,0.2,7.1,7.3,56.0,41.83,85.0,1.6
2254,25.0,1.8,0.59,0.19,0.6,13.0,13.0,48.0,47.94,85.0,1.7
2255,25.0,2.0,0.59,0.2,1.4,18.0,20.0,55.0,46.12,87.0,2.2
2256,25.0,1.9,0.49,0.18,0.6,12.0,13.0,50.0,44.95,86.0,2.8
2257,25.0,1.9,0.54,0.19,0.4,13.0,14.0,56.0,41.96,84.0,3.8
2258,24.0,2.1,0.55,0.34,0.7,15.0,16.0,49.0,40.66,85.0,2.7
2259,24.0,2.4,0.61,0.46,0.4,15.0,16.0,51.0,38.71,86.0,2.9
2260,23.0,2.6,0.54,0.29,0.7,14.0,15.0,50.0,37.02,88.0,2.6
2261,23.0,2.4,0.54,0.36,8.5,17.0,25.0,53.0,35.98,88.0,2.9
2262,23.0,2.1,0.43,0.22,4.2,8.5,13.0,40.0,40.4,88.0,2.6
2263,24.0,1.9,0.45,0.13,4.7,7.9,13.0,47.0,47.68,85.0,4.3
2264,26.0,1.8,0.46,0.1,2.9,6.8,9.6,47.0,56.143,80.0,3.7
2265,27.0,1.8,0.45,0.09,2.7,7.0,9.6,61.0,54.18,74.0,3.2
2266,28.0,1.7,0.32,0.03,1.0,2.1,3.0,52.0,48.98,70.0,2.9
2267,29.0,1.7,0.31,0.02,0.9,2.0,2.8,42.0,46.51,65.0,4.5
2268,29.0,1.7,0.3,0.03,0.5,1.3,1.8,38.0,42.74,64.0,3.0
2269,29.0,1.7,0.27,0.01,0.4,1.3,1.7,37.0,41.7,64.0,2.9
2270,29.0,1.76,0.25,0.04,0.4,1.0,1.4,41.0,33.9,66.0,2.4
2271,29.0,1.6,0.25,0.01,0.4,1.1,1.5,45.0,15.7,65.0,2.2
2272,28.0,1.7,0.26,0.01,0.4,1.5,1.8,42.0,14.4,67.0,1.9
2273,28.0,1.7,0.29,0.03,0.6,2.6,3.2,38.0,18.3,69.0,2.2
2274,27.0,1.7,0.3,0.04,0.3,3.9,4.2,30.0,19.6,75.0,2.0
2275,26.0,1.7,0.37,0.07,0.3,6.0,6.2,35.0,30.0,76.0,1.9
2276,26.0,1.7,0.43,0.1,0.6,8.7,9.3,32.0,32.6,75.0,1.7
2277,26.0,1.8,0.47,0.12,0.6,11.0,12.0,31.0,37.8,76.0,2.1
2278,25.0,2.0,0.41,0.09,0.6,11.0,11.0,35.0,36.5,80.0,2.3
2279,25.0,2.0,0.4,0.09,0.8,13.0,14.0,35.0,36.5,80.0,2.4
2280,25.0,2.0,0.4,0.1,1.2,16.0,17.0,41.0,40.4,82.0,2.1
2281,24.0,2.0,0.39,0.1,0.8,15.0,16.0,38.0,41.7,83.0,2.4
2282,24.0,2.2,0.39,0.12,1.0,16.0,17.0,40.0,28.7,85.0,2.4
2283,23.0,2.5,0.42,0.11,4.8,17.0,21.0,46.0,28.7,88.0,1.7
2284,23.0,2.2,0.32,0.07,1.0,11.0,12.0,60.0,33.9,90.0,0.9
2285,23.0,2.0,0.33,0.05,0.2,8.6,8.8,80.0,56.0,90.0,1.8
2286,23.0,2.0,0.41,0.09,4.0,11.0,15.0,86.0,54.7,89.0,2.6
2287,23.0,2.1,0.48,0.12,10.0,11.0,21.0,81.0,61.2,89.0,2.1
2288,25.0,2.0,0.45,0.1,8.9,9.5,18.0,73.0,65.1,83.0,1.9
2289,27.0,1.8,0.37,0.09,4.9,7.2,12.0,73.0,70.3,71.0,1.8
2290,29.0,1.7,0.33,0.12,1.5,6.3,7.7,58.0,65.1,62.0,1.8
2291,30.0,1.8,0.35,0.1,0.9,5.9,6.7,51.0,54.7,60.0,1.8
2292,31.0,1.7,0.33,0.07,0.2,4.7,4.9,47.0,57.3,56.0,1.9
2293,30.0,1.7,0.3,0.05,0.6,5.1,5.6,49.0,46.9,58.0,4.4
2294,30.0,1.7,0.26,0.06,0.0,3.6,3.6,47.0,54.7,63.0,2.1
2295,29.0,1.7,0.25,0.05,0.0,3.2,3.2,45.0,44.3,67.0,1.9
2296,29.0,1.7,0.24,0.04,-0.1,2.8,2.7,51.0,53.4,66.0,1.3
2297,28.0,1.7,0.29,0.06,0.0,4.0,4.0,52.0,39.1,69.0,1.4
2298,27.0,1.7,0.3,0.07,-0.2,5.7,5.5,48.0,45.6,73.0,1.4
2299,26.0,1.8,0.38,0.11,-0.2,9.6,9.5,46.0,44.3,75.0,1.9
2300,26.0,1.8,0.48,0.16,0.0,13.0,13.0,62.0,57.3,77.0,2.4
2301,26.0,1.9,0.56,0.2,0.1,16.0,16.0,78.0,72.9,80.0,3.0
2302,26.0,2.0,0.55,0.22,0.1,19.0,19.0,92.0,82.0,80.0,3.3
2303,25.0,2.0,0.56,0.25,0.0,23.0,23.0,106.0,88.5,80.0,4.1
2304,25.0,2.2,0.59,0.34,1.0,32.0,33.0,107.0,82.0,83.0,4.0
2305,25.0,2.3,0.59,0.37,1.4,28.0,29.0,108.0,89.8,84.0,4.9
2306,25.0,2.1,0.49,0.25,0.0,16.0,16.0,106.0,102.8,84.0,4.4
2307,24.0,2.2,0.48,0.28,0.0,13.0,13.0,111.0,108.0,85.0,3.5
2308,24.0,2.0,0.59,0.29,0.2,12.0,13.0,112.0,96.3,85.0,4.8
2309,23.0,2.1,0.48,0.32,0.7,15.0,15.0,103.0,76.8,87.0,2.9
2310,23.0,2.0,0.47,0.25,4.2,14.0,19.0,91.0,62.5,86.0,2.6
2311,24.0,1.9,0.63,0.29,10.0,16.0,26.0,76.0,52.1,80.0,3.5
2312,27.0,1.8,0.78,0.4,11.0,22.0,33.0,77.0,53.4,73.0,6.6
2313,28.0,1.8,0.88,0.36,2.6,21.0,23.0,82.0,66.4,67.0,6.3
2314,29.0,1.8,0.82,0.22,1.1,15.0,16.0,95.0,88.5,64.0,7.6
2315,30.0,1.7,0.64,0.14,0.6,12.0,13.0,99.0,82.0,61.0,9.6
2316,31.0,1.7,0.47,0.11,0.9,10.0,11.0,80.0,75.5,59.0,7.8
2317,31.0,1.7,0.35,0.07,1.4,9.4,11.0,70.0,46.9,61.0,7.2
2318,31.0,1.6,0.24,0.07,1.7,5.8,7.5,48.0,43.0,62.0,3.9
2319,32.0,1.6,0.23,0.09,2.5,5.0,7.5,54.0,28.7,59.0,2.8
2320,32.0,1.6,0.26,0.09,2.7,4.8,7.4,48.0,27.4,54.0,2.7
2321,31.0,1.6,0.36,0.29,2.5,6.5,9.1,51.0,26.1,58.0,2.6
2322,30.0,1.6,0.41,0.6,3.5,11.0,14.0,46.0,17.0,63.0,3.7
2323,29.0,1.7,0.48,0.88,4.9,16.0,21.0,42.0,9.2,66.0,5.5
2324,29.0,1.7,0.65,0.78,19.0,19.0,38.0,37.0,5.3,67.0,9.7
2325,29.0,1.7,0.41,0.63,3.9,14.0,18.0,34.0,18.3,64.0,5.0
2326,29.0,1.7,0.38,0.58,1.1,11.0,12.0,35.0,26.1,63.0,4.4
2327,28.0,1.7,0.43,0.51,0.7,14.0,14.0,29.0,18.3,64.0,4.7
2328,28.0,1.7,0.38,0.72,0.5,13.0,13.0,34.0,9.2,67.0,4.2
2329,28.0,1.7,0.39,0.68,0.2,11.0,11.0,37.0,13.1,70.0,5.8
2330,27.0,1.8,0.36,0.53,0.1,10.0,10.0,46.0,18.3,74.0,5.3
2331,27.0,1.7,0.24,0.31,0.4,7.8,8.3,44.0,23.5,76.0,4.8
2332,27.0,1.8,0.6,0.35,1.6,17.0,19.0,45.0,23.5,78.0,9.5
2333,26.0,1.8,0.39,0.51,3.0,17.0,21.0,46.0,23.5,80.0,5.6
2334,27.0,1.8,0.42,0.31,6.2,15.0,21.0,51.0,26.1,77.0,6.4
2335,28.0,1.8,0.53,0.19,7.6,12.0,19.0,52.0,15.7,72.0,3.9
2336,29.0,1.7,0.42,0.35,6.1,11.0,17.0,51.0,13.1,67.0,3.8
2337,31.0,1.7,0.45,0.63,4.3,14.0,18.0,59.0,24.8,63.0,4.7
2338,31.0,1.7,0.37,0.23,2.3,9.7,12.0,63.0,31.3,62.0,4.0
2339,32.0,1.7,0.26,0.09,1.9,6.5,8.3,67.0,37.8,61.0,3.0
2340,32.0,1.6,0.24,0.05,1.9,4.9,6.8,57.0,26.1,63.0,3.7
2341,31.0,1.6,0.2,0.04,1.6,2.1,3.7,47.0,32.6,64.0,2.2
2342,31.0,1.6,0.19,0.05,0.8,1.5,2.2,45.0,24.8,65.0,1.4
2343,31.0,1.7,0.25,0.09,2.0,5.7,7.6,39.0,14.4,64.0,3.9
2344,31.0,1.7,0.33,0.15,3.7,9.5,13.0,45.0,5.3,65.0,6.5
2345,30.0,1.7,0.37,0.1,2.0,8.0,10.0,42.0,14.4,71.0,3.8
2346,29.0,1.7,0.34,0.1,0.4,6.1,6.5,41.0,28.7,77.0,2.2
2347,28.0,1.7,0.34,0.15,0.5,7.3,7.8,39.0,36.5,79.0,2.0
2348,28.0,1.7,0.46,0.35,0.8,13.0,13.0,38.0,24.8,80.0,3.8
2349,28.0,1.7,0.41,0.14,0.6,10.0,11.0,40.0,10.5,82.0,3.5
2350,28.0,1.7,0.41,0.67,0.2,11.0,11.0,43.0,36.5,83.0,4.1
2351,28.0,1.7,0.29,0.11,0.3,8.3,8.7,40.0,44.3,83.0,3.0
2352,27.0,1.7,0.2,0.05,0.1,4.8,4.9,43.0,52.1,85.0,1.8
2353,27.0,1.7,0.17,0.04,0.3,4.0,4.2,38.0,26.1,86.0,1.7
2354,26.0,2.1,0.31,0.24,2.4,12.0,14.0,41.0,19.6,87.0,2.4
2355,26.0,2.1,0.33,0.29,6.6,16.0,23.0,43.0,15.7,86.0,2.2
2356,25.0,2.0,0.31,0.17,2.6,13.0,16.0,41.0,15.7,87.0,2.0
2357,25.0,2.0,0.33,0.3,6.1,13.0,20.0,30.0,13.1,87.0,2.0
2358,25.0,2.0,0.38,0.26,12.0,13.0,25.0,30.0,22.2,86.0,2.1
2359,26.0,1.9,0.51,0.25,8.1,13.0,21.0,44.0,26.1,84.0,2.2
2360,28.0,1.9,0.69,0.45,5.3,19.0,25.0,73.0,45.6,76.0,4.3
2361,30.0,1.8,0.46,0.23,1.3,12.0,13.0,78.0,52.1,70.0,2.1
2362,31.0,1.7,0.3,0.12,0.7,5.9,6.6,69.0,46.9,58.0,2.0
2363,29.7,1.74,0.2,0.06,1.9,5.38,7.28,49.5,41.18,60.5,3.14
2364,30.0,1.7,0.18,0.0,1.67,4.27,5.92,50.0,33.9,61.0,0.9
2365,31.0,1.7,0.17,0.0,0.7,0.6,1.2,35.0,23.5,54.0,1.1
2366,32.0,1.7,0.18,0.01,0.5,0.5,1.1,26.0,17.0,50.0,1.0
2367,31.0,1.7,0.17,0.02,1.0,2.2,3.2,15.0,23.5,57.0,1.5
2368,29.0,1.7,0.18,0.02,0.8,3.6,4.4,16.0,17.0,66.0,2.2
2369,27.0,1.7,0.21,0.02,0.1,3.1,3.1,24.0,22.2,70.0,1.4
2370,27.0,1.7,0.27,0.06,-0.2,6.1,5.9,32.0,18.3,72.0,1.3
2371,26.0,1.7,0.3,0.09,-0.2,6.8,6.6,29.0,31.3,75.0,1.2
2372,26.0,1.8,0.34,0.19,-0.1,10.0,10.0,34.0,33.9,78.0,1.5
2373,26.0,1.9,0.39,0.25,-0.1,12.0,12.0,38.0,32.6,79.0,1.6
2374,25.0,2.0,0.41,0.32,0.1,15.0,15.0,60.0,44.3,82.0,2.2
2375,25.0,2.1,0.45,0.19,1.7,26.0,28.0,60.0,52.1,84.0,3.3
2376,25.0,2.1,0.44,0.18,1.0,23.0,24.0,67.0,61.2,84.0,4.1
2377,24.0,2.2,0.39,0.16,0.4,19.0,20.0,66.0,67.7,86.0,3.6
2378,23.0,2.0,0.42,0.1,0.1,17.0,17.0,75.0,66.4,86.0,4.9
2379,23.0,2.0,0.46,0.12,0.6,16.0,17.0,76.0,67.7,87.0,5.5
2380,23.0,2.1,0.53,0.17,3.5,21.0,25.0,86.0,70.3,87.0,6.4
2381,23.0,2.2,0.51,0.15,1.6,17.0,19.0,85.0,61.2,88.0,5.2
2382,23.0,2.1,0.45,0.12,3.9,15.0,18.0,99.0,69.0,89.0,3.3
2383,23.0,1.9,0.43,0.11,5.0,13.0,18.0,106.0,70.3,88.0,2.6
2384,25.0,1.9,0.48,0.13,8.8,13.0,22.0,113.0,100.2,82.0,3.8
2385,27.0,1.7,0.34,0.1,4.4,7.6,12.0,106.0,98.9,69.0,3.7
2386,29.0,1.7,0.23,0.05,0.7,2.8,3.5,77.0,84.6,63.0,2.9
2387,30.0,1.7,0.22,0.05,0.6,2.3,2.9,58.0,59.9,56.0,3.2
2388,31.0,1.6,0.19,0.04,0.4,1.2,1.6,34.0,44.3,51.0,2.9
2389,31.0,1.6,0.17,0.03,0.3,1.0,1.3,34.0,31.3,52.0,2.6
2390,31.0,1.6,0.19,0.05,0.6,2.0,2.6,34.0,28.7,55.0,3.1
2391,30.0,1.6,0.19,0.04,0.6,2.1,2.7,42.0,22.2,57.0,3.0
2392,29.0,1.6,0.21,0.06,0.6,4.8,5.4,37.0,36.5,63.0,3.8
2393,28.0,1.6,0.22,0.04,0.3,5.8,6.1,40.0,36.5,73.0,4.7
2394,27.0,1.6,0.23,0.03,0.1,7.6,7.7,40.0,43.0,75.0,4.7
2395,27.0,1.6,0.2,0.02,-0.2,4.0,3.8,48.0,39.1,77.0,2.8
2396,26.0,1.7,0.27,0.05,0.0,6.8,6.8,40.0,33.9,79.0,2.8
2397,26.0,1.8,0.27,0.05,0.3,9.2,9.6,45.0,36.5,81.0,3.0
2398,26.0,1.8,0.33,0.08,0.7,15.0,15.0,40.0,23.5,81.0,4.5
2399,26.0,1.9,0.4,0.1,0.9,20.0,21.0,50.0,28.7,82.0,6.5
2400,26.0,1.8,0.37,0.32,0.7,13.0,13.0,54.0,33.9,79.0,5.1
2401,26.0,1.8,0.3,0.16,0.2,9.4,9.6,59.0,44.3,77.0,2.6
2402,26.0,2.0,0.38,0.5,0.4,13.0,13.0,55.0,45.6,75.0,2.8
2403,26.0,2.1,0.5,1.34,4.1,22.0,26.0,51.0,44.3,76.0,4.3
2404,25.0,2.1,0.41,0.58,3.2,20.0,23.0,60.0,48.2,77.0,2.5
2405,25.0,2.1,0.38,0.38,5.6,18.0,24.0,59.0,50.8,79.0,3.2
2406,24.0,1.9,0.27,0.16,3.7,11.0,15.0,54.0,46.9,79.0,2.1
2407,26.0,1.9,0.37,0.22,8.0,13.0,21.0,45.0,46.9,75.0,3.0
2408,27.0,1.8,0.41,0.2,6.0,11.0,17.0,43.0,41.7,67.0,2.8
2409,29.0,1.7,0.33,0.17,3.7,8.0,12.0,43.0,41.7,60.0,3.1
2410,31.0,1.7,0.3,0.16,3.0,8.5,12.0,39.0,32.6,53.0,7.3
2411,31.0,1.7,0.34,0.15,2.5,9.4,12.0,43.0,28.7,55.0,5.5
2412,30.0,1.7,0.42,0.16,2.0,13.0,15.0,46.0,30.0,61.0,7.1
2413,30.0,1.7,0.29,0.09,1.1,6.5,7.6,46.0,40.4,65.0,4.3
2414,30.0,1.7,0.28,0.19,0.7,5.5,6.1,43.0,44.3,69.0,3.0
2415,29.0,1.7,0.23,0.07,0.8,3.7,4.5,41.0,36.5,72.0,1.8
2416,28.0,1.6,0.21,0.06,0.8,3.1,3.8,37.0,30.0,75.0,1.4
2417,24.0,1.6,0.17,0.02,0.7,3.1,3.7,32.0,27.4,86.0,0.9
2418,23.0,1.7,0.19,0.02,0.5,3.4,3.9,26.0,19.6,89.0,1.0
2419,23.0,1.7,0.24,0.06,0.9,8.7,9.6,24.0,17.0,90.0,1.1
2420,23.0,1.7,0.32,0.06,1.0,7.2,8.2,20.0,10.5,86.0,1.8
2421,23.0,1.7,0.28,0.1,0.9,9.7,11.0,16.0,10.5,87.0,1.3
2422,24.0,1.7,0.24,0.06,0.6,6.6,7.2,16.0,14.4,84.0,1.0
2423,24.0,1.7,0.27,0.11,0.8,10.0,11.0,22.0,18.3,82.0,2.0
2424,24.0,1.7,0.25,0.14,0.6,9.0,9.6,25.0,22.2,80.0,2.9
2425,24.0,1.8,0.3,0.2,0.4,11.0,12.0,27.0,15.7,81.0,3.3
2426,23.0,1.7,0.22,0.13,0.3,6.1,6.4,23.0,14.4,84.0,2.2
2427,23.0,1.8,0.2,0.1,0.5,3.6,4.0,26.0,15.7,87.0,1.6
2428,23.0,1.8,0.2,0.1,0.3,4.3,4.6,26.0,22.2,88.0,1.4
2429,22.0,1.8,0.22,0.09,0.6,5.0,5.5,24.0,18.3,90.0,1.6
2430,22.0,1.7,0.26,0.06,0.9,6.5,7.3,19.0,13.1,89.0,2.1
2431,23.0,1.7,0.69,0.27,4.7,18.0,22.0,20.0,13.1,86.0,3.8
2432,24.0,1.7,0.9,0.33,4.1,18.0,22.0,25.0,17.0,81.0,2.5
2433,26.0,1.7,0.53,0.21,2.3,11.0,14.0,32.0,22.2,75.0,2.4
2434,26.0,1.7,0.39,0.14,1.6,9.6,11.0,32.0,22.2,74.0,1.9
2435,27.0,1.7,0.25,0.05,1.1,3.6,4.7,36.0,22.2,72.0,1.6
2436,27.0,1.7,0.28,0.06,0.9,5.3,6.2,27.0,26.1,71.0,1.6
2437,27.0,1.7,0.25,0.06,0.6,5.3,5.9,31.0,23.5,74.0,1.8
2438,27.0,1.8,0.27,0.09,0.7,5.1,5.8,29.0,30.0,77.0,2.1
2439,26.0,1.8,0.34,0.13,0.8,9.0,9.8,45.0,32.6,80.0,2.2
2440,25.0,1.8,0.36,0.13,0.9,10.0,11.0,51.0,46.9,81.0,2.9
2441,23.0,1.7,0.36,0.16,0.7,8.4,9.1,50.0,36.5,84.0,1.7
2442,22.0,1.7,0.29,0.12,0.6,7.8,8.4,33.0,27.4,88.0,1.5
2443,22.0,1.7,0.35,0.22,1.0,13.0,14.0,25.0,11.8,90.0,2.1
2444,22.0,1.7,0.35,0.24,0.7,9.9,11.0,17.0,7.9,88.0,2.1
2445,22.0,1.7,0.35,0.24,0.7,14.0,14.0,26.0,11.8,86.0,2.0
2446,23.0,1.7,0.28,0.17,0.5,9.8,10.0,20.0,15.7,84.0,2.3
2447,22.0,1.9,0.31,0.13,0.5,8.2,8.6,28.0,30.0,89.0,1.8
2448,22.0,1.9,0.42,0.15,0.5,8.8,9.3,33.0,45.6,90.0,2.4
2449,22.0,2.0,0.43,0.16,0.5,10.0,11.0,53.0,70.3,89.0,2.7
2450,22.0,1.9,0.44,0.15,0.4,13.0,13.0,68.0,72.9,89.0,2.9
2451,22.0,2.0,0.44,0.18,0.5,18.0,19.0,72.0,79.4,89.0,3.1
2452,22.0,2.1,0.41,0.16,0.5,18.0,18.0,71.0,69.0,91.0,3.8
2453,21.0,2.0,0.39,0.15,0.5,15.0,15.0,69.0,59.9,91.0,3.1
2454,22.0,1.9,0.41,0.11,1.9,17.0,19.0,77.0,41.7,90.0,2.5
2455,22.0,1.9,0.48,0.13,3.8,16.0,20.0,72.0,40.4,88.0,3.0
2456,24.0,1.8,0.46,0.13,5.1,13.0,18.0,75.0,56.0,82.0,4.9
2457,25.0,1.8,0.44,0.13,3.3,13.0,16.0,60.0,70.3,77.0,5.8
2458,26.0,1.8,0.41,0.13,2.0,12.0,14.0,63.0,67.7,74.0,4.3
2459,27.0,1.8,0.42,0.14,1.3,11.0,12.0,50.0,58.6,71.0,3.1
